Name,Email,City,Zipcode,Phone Number
Lena,cusofut@ralamcut.tg,Linköping,33333,(874) 639-6823
Erik,wesfitjij@gik.ca,Uppsala,11111,(751) 953-2246
Anna,til@nasin.be,Gothenburg,22222,(819) 647-2615
Svenne Banansson,bo@mi.uz,Uppsala,44444,(631) 892-8848
Maria,dacufi@niko.bs,Malmö,11111,(361) 866-9870
Svenne Banansson,tihsobra@raf.as,Linköping,33333,(507) 525-7370
Erik,umado@ihlurupu.mc,Linköping,55555,(737) 757-9837
Lena,ja@ju.kn,Gothenburg,11111,(420) 349-5706
Anna,aj@pahwas.iq,Malmö,11111,(514) 423-5635
Erik,fada@gimnumru.tv,Gothenburg,44444,(788) 273-9739
